"investorTimes","investorDirections"
12753,0
20784,0
23014,0
23122,1
25469,0
26871,0
26911,0
29072,0
32198,0
36595,0
62904,0
71038,0
83520,0
83613,1
84623,1
85379,0
87270,1
94329,1
98505,1
100329,0
104001,0
105630,1
108925,0
117563,0
123190,1
137339,0
145586,0
157232,0
159613,1
161780,1
171674,0
172595,1
178960,1
180101,1
184127,1
186020,1
192593,0
192634,0
197706,0
203628,0
206187,1
217244,0
219503,1
221201,0
231101,0
232027,0
232537,0
232845,0
235638,0
239722,0
250972,0
250984,0
256769,1
258231,1
266888,0
270148,0
273847,0
280227,0
