"jumpTimes","jumpSizes"
0,100
3328,100.041182620164
3409,99.5919865057411
4937,99.6498159589494
9509,98.8763281843315
12439,99.0823149264991
31253,99.8281817631156
37661,99.4632022952198
40265,99.7583635549201
40545,99.6734589810441
44351,100.016178132469
50157,100.517563164777
52610,100.503175186286
55366,100.397780605878
59252,100.772164319974
59784,100.513532919526
60438,99.8842269995532
60516,99.958461402488
60775,99.3895410610488
68185,99.6879862350923
85416,100.126805547469
95125,100.612107987537
96016,100.765015022835
106809,101.670744848557
108068,101.759108785801
120672,101.385019177677
133184,101.064104068408
137825,100.438964878818
140190,101.68097376469
143955,102.248004582903
145711,103.079003845651
148176,101.759500487596
149452,101.923026917647
156943,100.691267711755
158121,101.479918741371
163638,101.271318887485
175850,101.514841580108
191069,101.907248164758
195071,101.698236702871
198308,101.327613606291
203736,101.052107233671
204740,100.583689510951
212364,100.325304825812
213500,100.607686019865
218334,100.88116553213
219374,100.581379767824
219631,100.578873444767
221549,100.05566535259
224695,100.297003396366
228123,100.791318644878
244452,101.289663468295
244760,101.545089149966
245446,101.632011156497
252287,101.485259896234
253563,101.572160210984
257823,101.758084722891
261068,102.105635262625
262420,102.52166179554
267844,102.263807999213
269782,102.58383397977
280498,102.343339502052
281113,102.332037652333
281398,102.669324516064
282583,102.410556613863
284043,102.177274590641
288205,102.39585647455
293710,102.009905254501
296341,101.879696692993
298209,101.878670667234
299687,101.962047225168
