"jumpTimes","jumpSizes"
0,100
2195,100.120177670683
8022,99.4760220108336
11226,100.627703338452
11281,99.7268065384985
13223,99.4653535522439
16681,98.7985418065227
23006,97.6366738354346
23539,97.5746707619498
23758,97.3049609095469
25103,97.3322862020371
25237,97.0853207796378
30707,97.7212959620943
32139,97.1231056464374
33109,97.3759543146351
33500,98.1262358293706
34203,98.2200720847771
37952,98.2856218082435
41289,98.3254097903882
43438,99.0112573360214
44448,98.9474588771274
46844,99.5758528455247
47795,99.4113856617324
50047,100.456317524598
57768,100.575327776063
63577,100.38433044526
64255,100.769345264857
64961,101.616139080313
73828,101.904240505506
79775,101.970003891803
82443,102.778835119349
83585,103.261642975693
87164,102.926669898976
87754,102.958181536192
87882,103.856286469967
93188,103.345565936343
94007,103.469194834637
94989,103.549847820026
97410,103.31102046305
112571,102.959393489062
113261,103.543629573446
117190,104.185521969374
119313,104.741709900145
123778,105.432830062551
130473,105.535328983904
131137,106.015471572579
132666,106.403372019837
134036,106.272112657161
135106,106.781346471675
144109,106.117494002175
150069,107.173728660263
152703,107.008818181654
160899,106.650295723492
169480,107.526385365261
170094,107.321758351547
178558,107.390454130301
181986,107.659744263512
189348,108.338455182257
190055,108.140687143839
193026,107.237737714834
196067,107.321303941791
196765,106.453197300096
196883,105.77459246456
201469,105.328908811495
203711,105.379701564629
203955,106.135152746595
204400,105.452305776348
208992,105.485863357833
216307,104.709364023898
221998,104.004042123932
225173,103.33292035402
226588,102.928164297178
231213,103.80736311144
232131,103.717868359945
238638,103.721002459823
240561,103.604797561584
246644,103.977749187198
247109,103.61651655815
249015,103.246511041347
250818,103.393975078548
251538,102.666582105835
252943,102.470730336275
255858,102.215796694413
256341,102.436053622354
258228,103.309652046543
263877,102.712632180578
267658,103.157521245522
274844,104.037538515272
275392,104.012524274401
280435,104.1084246582
287559,103.82787677256
296214,103.168001975878
299268,102.583826801585
