"investorTimes","investorDirections"
1264,0
3077,1
3605,0
5370,0
6011,1
7235,0
10937,1
15947,1
18598,1
20367,1
20736,1
26548,0
26719,0
26930,1
30183,0
30473,0
37944,1
38870,1
39449,0
46369,1
46942,1
48552,1
53095,1
58396,1
61544,0
63400,1
64243,0
65853,1
66681,0
80471,0
83921,1
86550,0
86773,1
88503,0
91963,1
92867,0
96979,0
102563,0
102599,0
105683,0
106542,1
109498,0
110636,0
112667,0
113643,1
114395,0
116281,1
116666,0
116765,0
122307,1
127957,1
133847,0
136361,1
137533,1
141151,1
141439,1
142118,0
145971,1
146082,1
147520,0
147927,1
149961,1
153323,1
157843,1
159199,1
165555,1
166229,0
172798,0
175696,0
182112,0
182758,0
184958,0
196740,1
214396,0
217204,0
219313,1
219901,0
222744,0
224212,1
224953,1
226552,0
228282,1
231181,1
237966,0
238862,0
250040,0
250852,1
251045,1
257546,0
264840,0
272523,1
272952,1
273209,0
273875,0
273877,0
278974,1
286059,1
286273,1
287243,0
288229,0
289355,1
290259,1
292121,1
299967,1
