"investorTimes","investorDirections"
3551,1
6872,1
9974,1
10896,0
13860,0
14477,0
16948,1
19612,1
26487,0
26573,0
28340,1
32805,0
37037,1
41990,0
49301,0
51187,1
52944,1
60871,0
65703,1
76642,1
80217,1
80527,0
82487,1
93575,1
97563,1
97914,1
99305,0
100882,0
103577,0
105124,0
109051,0
111013,0
111917,0
120334,0
120807,0
124180,0
125685,1
127193,0
128067,1
128367,0
133398,1
146122,1
149031,0
149521,1
151758,1
152761,1
152830,0
153353,1
153972,0
157752,0
159852,1
160267,1
161008,1
162569,1
174260,0
176801,0
176802,1
188863,0
190398,1
192486,1
203170,1
204412,1
212981,0
215246,1
230441,0
231381,0
232156,1
235441,1
235648,1
241324,0
247990,0
250990,1
252087,1
252790,1
255017,1
258483,1
260011,1
262267,0
268440,1
276358,0
288426,0
291394,1
292301,0
294018,0
