"investorTimes","investorDirections"
4218,0
4844,1
6039,0
8212,0
10046,1
18495,1
19837,1
26633,0
35964,1
39923,1
51626,1
53746,1
53757,1
54864,0
56263,1
61293,0
65109,1
68526,1
70700,1
75621,0
77604,0
85222,1
85722,1
87826,0
89513,1
92954,1
93289,0
93824,0
96582,1
100071,1
101680,0
102285,1
102838,0
105582,1
125562,1
140671,1
145240,1
145909,0
151639,1
152106,1
154024,1
157966,0
162829,1
164189,0
164650,0
172776,1
174101,1
174439,0
176521,1
177036,1
180836,1
186422,1
187186,0
187896,0
196936,0
197519,0
198652,1
204674,0
206409,0
212883,1
213693,0
214043,1
215115,0
215700,1
224050,1
224557,1
228942,1
229070,0
235700,0
236513,1
237849,0
245007,1
247510,1
249630,0
257417,1
271455,1
272165,1
273615,0
279125,0
280403,1
287265,0
287351,1
292275,0
