"investorTimes","investorDirections"
861,0
1687,0
6119,0
22715,1
27688,0
30009,0
40882,0
43090,1
49297,0
55040,0
56197,1
56909,0
57050,0
57239,0
57816,1
63125,0
72535,0
76439,1
77021,1
81301,0
83195,0
98333,0
99644,1
102445,0
106315,1
107292,1
111994,0
113979,0
117295,1
121349,0
131937,1
134567,1
144825,1
145403,1
150698,1
151196,1
152235,1
158082,0
162842,0
173529,1
174507,1
177267,0
178077,1
178439,0
179543,0
181491,1
182043,1
190944,1
191019,1
195634,0
199911,1
201946,1
202457,1
202644,0
210677,0
213434,0
218941,0
222003,1
227476,0
228867,1
233968,1
236117,0
239145,0
240939,1
250972,0
251559,0
253331,1
254139,1
255523,1
256413,1
256557,1
258012,1
259006,1
259733,0
261041,1
261772,1
262586,1
269985,0
273054,0
275904,0
280690,1
282940,1
284366,1
291100,1
295004,0
298524,1
