"investorTimes","investorDirections"
310,1
2240,0
3942,1
10037,1
10065,0
12794,0
15531,0
15675,1
17887,0
19139,0
20138,0
25020,0
27809,1
27942,1
35822,1
37968,1
43031,0
43725,0
43748,1
44214,1
45746,0
54732,1
55737,0
66697,0
72573,0
78646,0
79880,1
82264,0
87558,0
90300,0
100865,1
102892,0
107608,1
123795,1
127143,0
129366,1
130382,0
137154,1
142012,1
144751,0
146610,0
152324,0
152402,1
154408,0
155526,1
158562,1
161858,1
163206,0
163922,1
164964,0
165425,1
165635,1
165822,0
167852,1
170160,1
171171,0
171735,1
176037,0
181268,1
184331,1
184551,1
184667,1
185849,0
186632,0
190251,0
190634,1
191486,0
191592,0
192905,1
197124,0
200834,0
203329,1
204033,0
212278,0
216918,0
218715,0
224733,0
224869,1
226824,1
227051,1
235431,1
236399,0
237845,0
242211,0
247490,1
248202,0
248305,1
249265,1
250277,0
252514,1
264738,1
270215,1
279896,1
287235,1
288409,0
296221,0
