"investorTimes","investorDirections"
3457,1
7569,0
17146,0
18777,1
24811,1
28569,0
28608,1
44008,1
48454,0
51308,1
51745,0
60454,0
67721,0
69562,1
70064,0
70410,1
72238,0
74778,0
84396,0
85695,1
85909,0
86095,1
88333,0
90430,0
90613,0
90973,1
92804,1
96125,0
99149,0
109998,0
114622,0
115930,1
118921,1
121171,0
127018,1
133289,0
141466,1
142813,1
145603,0
147717,1
149160,0
155306,1
156707,1
157142,0
157225,0
161486,0
163564,1
166163,0
170884,1
172000,1
178134,1
180186,0
180397,0
184780,0
185025,0
188870,1
190418,1
190476,0
191922,0
192501,1
193450,1
196661,0
208118,0
213465,0
216028,0
216878,1
217453,0
221434,1
223821,1
228149,0
228660,0
235428,0
238300,0
239585,0
239820,1
245803,1
256192,0
256647,1
261528,0
264341,0
269470,0
270848,0
273540,1
274346,0
275601,0
277819,0
277837,0
278167,1
281739,0
283814,0
285717,0
286869,1
287304,1
297926,0
