"investorTimes","investorDirections"
2438,1
4905,1
5763,1
11634,0
12435,0
15295,0
16818,0
18268,1
18924,1
19292,1
20365,0
21545,0
22089,0
40171,0
44261,0
44889,1
51356,1
53135,0
53194,0
58048,0
58808,1
59003,1
60651,0
75247,1
79746,1
80340,0
82668,0
102341,0
106033,1
109962,0
112012,1
117697,0
121197,0
122251,0
125439,0
131233,0
142411,1
145055,1
147529,1
148656,1
152153,0
158133,0
165875,0
165932,0
167882,0
180315,0
183091,1
187260,0
189885,1
193829,1
197237,0
198146,0
201836,1
204764,0
207026,0
210196,1
218668,1
221186,0
226522,0
226970,1
227187,1
228571,0
231784,0
232036,1
233991,0
234695,1
234781,0
235207,0
238292,0
238711,1
239868,0
241105,0
243152,0
247258,1
264776,1
267533,1
269217,1
274020,0
274308,0
274548,0
275020,1
280282,0
280723,0
287301,0
290378,0
295916,0
298815,0
299000,0
299329,1
