"investorTimes","investorDirections"
5985,1
8552,0
8930,1
15098,0
16322,1
19605,1
32043,1
32378,0
32985,0
33812,1
40495,1
41894,1
42540,1
47334,0
50247,0
51570,1
53904,1
55524,1
58237,1
60108,1
62210,0
62751,0
64808,0
70119,0
70557,1
73815,0
77792,1
81547,0
85984,1
97125,1
104475,0
120066,1
121149,0
122238,1
123277,0
129491,0
131433,0
133325,1
141190,0
143940,1
147340,1
149202,1
149844,1
151140,0
152019,0
154460,1
160362,0
168235,1
168770,0
169522,0
169713,1
172210,0
175106,1
191613,0
202407,1
208316,0
210534,1
210602,0
214198,1
219156,1
219968,0
225398,0
226541,0
229226,1
235472,0
237603,0
238452,0
241537,1
242258,1
242302,1
244393,1
245528,0
246791,0
247216,0
247805,1
249728,1
254459,0
255474,1
256289,1
257569,0
257759,1
259736,0
261002,1
262782,0
265436,1
267370,0
271944,1
272062,1
278287,0
282386,1
287604,1
289231,1
290742,0
292519,1
292909,1
294015,1
295606,1
297741,1
299109,0
