"investorTimes","investorDirections"
8998,1
9953,1
9998,0
12118,1
15284,0
22170,1
23268,0
23911,0
23977,0
24329,0
26951,1
36636,1
39415,0
40289,0
40883,1
42559,1
56618,1
57353,0
59600,0
60038,0
67077,1
72169,1
73141,1
79695,1
80010,1
83832,0
91448,0
94058,0
98482,1
100807,0
105694,1
110594,0
111707,1
113217,1
114443,0
116187,1
120936,0
123465,0
124822,0
132417,1
137318,0
138931,0
145347,0
145805,1
152248,0
153017,0
153719,0
154423,1
154528,0
158884,0
161384,0
172977,0
173098,1
173277,1
176393,0
182491,1
189943,1
191179,1
195453,1
196934,1
197924,0
201844,1
202981,0
207876,1
208630,0
210690,1
211447,1
217051,0
221257,1
229197,1
231040,1
233057,1
236476,0
236908,0
241943,1
241984,1
245395,1
245698,0
246887,1
249974,1
249988,1
254282,0
258585,0
260592,1
261055,1
261504,1
261953,0
262565,0
265136,1
265704,1
271073,1
272186,1
273644,1
275848,1
281600,0
286403,0
288349,1
288425,1
290802,0
298338,1
