"investorTimes","investorDirections"
6377,0
10574,1
15223,1
18810,1
19290,1
25801,0
26337,1
26910,0
27369,1
28755,1
28842,0
30065,0
31021,0
31037,1
33401,1
39220,1
40973,1
41616,0
49651,0
50085,0
52130,1
53163,0
55918,1
56316,0
62236,0
65607,0
73940,0
75179,1
80258,0
80664,0
82051,1
82200,0
84037,0
84820,1
84838,1
85679,0
87329,0
88763,1
92569,1
93133,0
94737,1
95170,0
97613,0
107450,1
115502,1
115806,1
121221,0
122540,1
123125,1
125226,1
128199,1
130870,1
132867,0
136519,1
137206,1
137595,1
139439,0
139896,0
140206,0
150205,0
154492,0
156876,0
162924,1
164820,1
164873,1
167687,1
167751,0
171869,1
172242,1
174424,1
176234,0
177569,0
178287,1
178994,0
184494,0
184700,0
184845,0
188248,0
189667,0
189792,0
191231,1
192794,1
201004,1
204883,0
209473,1
209858,0
212592,0
215185,1
216011,0
216843,1
220259,1
221482,0
223087,1
223977,1
227812,1
232372,0
234523,0
234612,0
234997,0
235301,1
240910,1
242359,1
250458,1
252859,1
253202,1
256257,0
258652,0
259543,0
262377,0
267801,1
268672,0
268882,1
272924,0
274074,0
275915,0
277421,1
279487,0
279633,1
280302,1
280918,1
282925,0
283107,1
283524,0
290065,0
293836,0
294739,1
