"investorTimes","investorDirections"
4496,1
12276,1
14439,0
23036,1
25888,0
39564,0
41029,1
43736,0
49890,0
51731,1
54181,0
57705,1
61057,0
64859,1
70438,0
78527,0
79069,0
86154,0
89102,0
89819,0
90238,1
93301,1
93793,0
106485,1
110510,0
113618,0
116154,0
117778,1
128723,1
131787,0
133209,0
142495,1
143895,1
152730,1
157059,1
168001,0
176388,0
180777,0
184439,0
187104,0
187619,0
189893,0
190635,0
192106,1
194288,1
198187,0
198346,1
201371,0
205473,1
206301,0
218668,1
223265,1
224030,1
227709,0
231342,1
234941,1
241061,0
248724,1
254769,1
256167,0
259198,0
269989,1
270915,1
271632,1
277248,0
277267,0
278840,0
286313,1
289890,1
