"investorTimes","investorDirections"
3558,1
8516,0
11322,1
18491,1
25819,0
28561,0
31254,1
34974,0
38561,0
40286,1
44170,1
47962,1
52038,1
54848,1
58262,1
65798,0
69188,0
69938,0
75719,1
76438,1
76853,0
78647,0
87605,1
88314,1
95398,1
95700,1
96343,1
99386,1
101185,0
105323,0
108642,0
110380,0
124641,0
130186,0
132537,0
141222,0
146606,0
148004,1
148667,1
151504,0
152945,1
155361,1
156065,0
156451,1
160753,0
165243,0
166652,1
168731,0
169619,1
170389,0
171073,0
176199,1
177442,1
177577,1
177763,0
180202,0
181495,1
187117,0
198984,1
203376,1
206978,1
208965,1
212762,0
217297,0
217716,1
217925,1
230723,1
235111,1
238013,1
238608,0
243305,0
245005,1
246419,0
249979,0
251045,1
259384,0
263430,0
266038,0
270835,0
276412,0
276480,0
279238,0
280569,0
294589,1
295247,0
