"investorTimes","investorDirections"
212,0
765,0
1003,1
4756,1
6328,0
8943,0
9988,1
15422,0
18615,0
18872,0
25670,0
26611,0
28721,1
30667,0
31694,1
34338,0
36854,1
38301,1
39131,0
40504,1
42506,0
45002,0
48742,0
51034,0
56290,0
56766,0
62222,1
63384,0
67086,0
72463,1
76042,1
78202,1
85206,1
86321,1
88093,0
90762,0
97889,0
100269,1
100629,1
101191,1
101195,1
110177,1
117182,0
117976,0
129485,0
129581,1
129816,1
138513,1
141502,1
148500,1
148647,1
160021,0
160922,1
171876,1
179091,1
182693,0
184623,0
188634,0
189649,1
197030,1
204345,0
204988,0
206118,0
207012,1
209989,0
210291,0
210343,0
214247,0
214854,1
216578,1
218787,1
220187,1
222414,0
225350,0
225488,0
228182,1
229519,1
233896,1
240041,1
247397,1
249017,0
252264,1
254133,0
258318,0
258375,1
261333,0
263977,1
273677,1
281447,0
286340,0
287644,1
288207,1
292715,1
293731,1
294111,0
298273,1
