"investorTimes","investorDirections"
918,0
3534,0
5099,1
5207,0
6172,1
8054,1
13679,0
14539,0
15412,1
15675,1
22053,1
25721,1
27100,1
28256,0
29961,0
31435,0
34431,0
42067,1
42500,0
44326,0
48370,0
50326,1
52596,0
58444,0
66891,0
79866,1
82901,1
83121,1
83741,0
87470,0
91465,1
97161,0
102604,0
103199,0
111383,0
113062,1
117291,1
131642,1
132930,0
137569,0
145448,1
146209,0
150159,1
151040,1
156025,1
158114,1
162246,1
167098,1
168145,1
168945,1
170804,0
171859,0
172221,1
173585,1
173854,0
176355,0
182933,0
188888,1
189803,0
191833,0
191943,0
194947,0
196418,0
197029,1
200870,0
201454,1
201966,0
204190,0
204255,0
205259,1
206142,0
207283,0
207394,1
210576,1
211950,0
216764,0
218198,0
219014,0
229620,1
230873,0
235966,0
237773,0
241947,0
244209,1
245343,0
246691,1
248865,1
257640,1
261892,0
262570,1
271847,0
281237,0
284291,1
294796,0
