"investorTimes","investorDirections"
5114,1
8867,1
9307,1
12274,1
13884,1
15636,0
18124,1
21100,1
25764,0
26699,0
28283,0
33697,1
38667,1
39467,0
42846,1
46291,0
56154,0
57988,1
60103,1
62785,1
65763,0
66853,0
68105,1
68146,0
68929,1
72935,1
80336,1
85786,0
87188,1
93603,1
97294,0
115324,0
121086,1
124640,0
125071,0
127320,1
129473,0
130945,1
132264,1
134254,0
136401,1
147132,0
151732,0
153050,1
160375,1
160719,0
161998,1
164578,1
168039,1
169400,0
169542,1
173519,1
178132,1
185663,0
189088,0
190207,1
190817,1
196867,0
202970,0
208546,0
210910,0
211959,1
213288,0
227747,0
228392,1
229224,1
232587,1
236983,0
238821,1
239224,1
244142,0
246290,0
246350,0
246518,1
246637,0
247848,0
253628,0
259236,1
259999,1
262591,0
265671,1
266016,1
267164,1
269070,0
270092,1
273502,1
274185,0
275167,0
276131,0
285132,1
287175,0
293266,1
293643,0
295411,0
