"investorTimes","investorDirections"
3930,0
10307,0
13249,0
14584,1
19179,1
21016,0
23334,0
28026,0
29193,0
38557,0
45103,0
60693,0
60887,0
61384,1
63916,0
66239,0
66828,1
67212,1
73277,1
73736,0
78934,0
79249,0
79733,0
81870,0
83620,0
84634,1
86067,1
92434,1
94274,1
96123,1
97219,1
102622,1
105215,0
105515,1
110358,1
113982,0
117099,0
117437,1
130650,1
131870,1
135057,0
142229,1
145484,1
152751,0
153403,0
156605,0
157076,1
157967,1
163993,0
169044,0
169178,1
172694,0
173410,1
173879,0
175333,1
181751,0
182711,1
186502,0
189265,1
190394,1
194641,0
196426,1
196913,1
197514,0
199484,1
201996,1
204000,1
204140,1
207076,0
210119,1
210302,0
210787,0
211683,1
213552,0
215231,1
218540,1
225293,1
225821,0
235196,0
236069,0
242218,1
243895,1
245952,0
247890,0
254852,1
258397,0
259746,0
261330,0
261529,1
267002,0
275254,1
275695,0
275828,0
276229,0
280266,0
282576,1
285979,0
286227,0
292415,0
296452,0
