"investorTimes","investorDirections"
11,0
4091,1
5573,1
6937,0
8059,0
9119,0
13635,1
26339,1
33062,1
38855,0
48886,0
48923,1
52967,0
55566,0
56001,1
59232,1
60256,1
62874,0
64277,0
66258,0
71264,0
74754,1
76501,1
78336,1
78747,0
85842,1
87046,0
87110,1
89833,0
99062,1
100557,0
104971,0
108214,0
109843,0
112438,1
113795,0
115186,0
116201,0
117979,0
120276,1
121571,0
122754,1
124384,0
124776,1
125345,0
127611,0
128344,1
143252,1
143354,1
144352,1
151300,0
153052,0
154801,1
156248,1
157129,1
157994,1
158682,0
160752,0
163941,1
171762,1
173715,0
177439,1
185492,0
189646,0
194563,1
196172,0
203218,0
204717,0
204844,0
206191,1
209531,1
211147,0
220942,1
221395,1
222354,1
222854,1
223214,0
227999,1
228934,1
237253,0
240576,0
241133,1
244202,1
245189,0
248919,1
249130,1
254450,0
255309,0
258930,0
260288,1
261456,1
262382,1
265453,1
277533,0
278882,1
281217,0
281889,0
282805,1
286215,1
288168,0
291109,1
297693,1
297834,1
