"investorTimes","investorDirections"
9247,0
10964,0
13066,0
13501,0
19301,0
20522,0
21382,1
25395,1
30084,1
30776,1
31288,1
33054,0
46530,1
46662,0
49077,1
49840,1
55962,0
61537,0
62917,0
76950,0
79934,0
81459,0
84686,0
90896,0
91249,1
91746,1
100531,1
103520,1
106339,1
106720,1
107264,1
119293,1
120541,0
122073,1
122576,1
128573,0
130882,0
132821,1
137890,0
144576,1
144669,0
144762,0
144860,1
145446,0
145850,0
148065,1
154128,1
155242,1
156050,1
159357,1
169379,0
170768,0
170877,0
174834,0
177300,0
178050,0
180618,0
183316,1
188686,1
188745,0
193366,0
196495,0
200213,0
202589,1
205919,0
206267,1
207217,0
209341,1
210646,1
216086,1
216249,0
217825,0
228213,0
231932,0
235234,1
237787,0
239465,1
240668,0
240831,0
244025,1
247824,1
247982,0
250520,0
255458,0
271726,0
272273,0
273875,1
275296,1
277672,1
279715,1
281538,1
286142,0
287077,0
290502,1
291160,1
292928,0
294167,1
