"investorTimes","investorDirections"
4764,1
5893,0
28736,1
30324,1
31970,1
40497,1
42892,0
45240,1
49649,1
50631,1
52006,0
52756,1
52953,1
56316,1
56497,0
59235,0
59953,0
70449,1
71673,0
72395,0
76899,1
81710,0
81983,1
82511,1
85844,0
86073,0
86350,0
91884,1
93444,1
96690,0
97708,1
102114,1
109180,1
109701,1
112977,1
120666,1
122973,1
123789,1
130418,0
132543,1
133131,0
136399,1
144551,1
153910,1
158598,1
162650,0
163542,0
166330,1
167778,1
171862,0
173668,0
181131,0
184249,1
184669,0
184678,1
194539,0
195848,1
197567,1
198624,1
201263,1
202967,0
203441,1
210368,1
211213,1
212771,0
212799,0
213497,1
220165,1
221798,1
223800,1
232148,1
232673,0
236925,1
237271,0
243053,0
245665,0
255298,1
258434,1
263728,1
270421,1
276013,1
276793,1
276802,0
279358,1
279399,0
283614,0
283650,1
293073,0
294709,0
297054,1
