"investorTimes","investorDirections"
130,0
763,1
1485,1
3436,1
6501,0
11380,1
13544,0
13660,0
13993,1
28160,1
41734,0
43382,0
63249,0
66100,0
67086,1
67586,0
73262,0
75734,0
77299,1
81182,0
84802,0
94303,0
95426,1
97200,0
97728,1
99858,1
100894,0
101572,0
109345,1
112923,1
113033,0
114944,0
117831,1
119558,1
120010,0
120702,1
121235,1
122930,0
128932,0
130163,1
130971,1
141526,0
146220,1
146389,1
147135,1
148565,1
149908,1
151708,0
151990,0
153093,0
156578,1
156843,1
157775,1
159543,0
160072,1
160894,0
161051,0
165480,0
166907,1
172034,0
173817,1
180022,1
180262,1
180901,0
183558,0
184983,0
187410,0
188702,1
191029,0
192970,0
193150,1
193223,1
196548,0
197998,1
200622,0
211186,0
211457,1
212160,0
214796,0
214857,1
216168,0
219386,1
224342,1
224903,1
229216,0
229887,0
232048,0
237593,0
240484,1
243178,1
243461,1
246851,1
247046,0
248028,0
252706,0
259606,0
262371,0
267263,1
272805,1
275292,0
275900,1
280939,1
285822,0
293100,0
