"investorTimes","investorDirections"
17969,0
26083,0
47231,0
48796,1
49703,0
51946,0
53428,1
55318,0
56358,0
61326,0
63701,0
65063,0
76933,1
77066,0
81258,0
92456,1
100996,0
102023,0
103437,1
105451,0
107460,1
111989,0
113529,1
114918,1
115235,0
116292,0
122127,1
130192,0
132432,0
135926,0
144602,1
147187,1
148363,1
150478,1
155627,1
159355,1
160476,0
161957,1
166797,1
171138,0
178375,0
180935,0
182570,0
191261,1
191283,1
191300,0
192744,0
194860,1
201786,1
203839,1
204533,1
204634,1
213132,1
213196,1
214857,0
215348,0
221109,1
225359,0
228302,0
229297,0
231739,0
232318,0
248905,0
249890,0
254483,1
256788,1
260670,1
262659,0
268454,1
274701,1
279162,1
279952,0
282991,0
285463,0
289209,0
290446,1
293377,1
