"investorTimes","investorDirections"
2618,0
5085,1
16522,1
18883,1
23282,0
37436,0
39289,0
42867,0
45386,0
46679,0
51948,0
56218,0
57416,0
59312,1
59512,0
64595,0
66444,1
70562,1
73031,1
75501,0
77423,1
77967,1
85297,1
86973,1
88785,0
94559,1
95523,0
97181,1
98879,1
102281,1
120232,1
120669,0
121990,1
124728,0
125635,1
126237,1
127702,0
127810,0
127903,0
128544,0
131190,1
135236,0
140319,0
141711,0
150201,1
154021,0
154130,1
155381,0
156237,1
159159,0
168298,1
169802,0
171940,1
175120,0
180584,1
183790,1
184157,1
188037,1
189019,0
190760,1
191442,0
194729,1
196009,0
197285,0
206853,1
208467,0
208928,0
211619,0
213476,1
220312,0
225621,1
226509,0
228325,1
230717,1
233324,1
239146,0
239516,1
241047,1
243350,0
244996,0
247310,1
261334,0
263235,0
265484,1
267129,0
270529,0
272341,0
274628,1
279646,0
286541,0
288764,1
292229,1
296192,0
297205,1
