"investorTimes","investorDirections"
1447,0
6168,0
7433,1
10785,1
10871,0
14594,1
15583,0
21202,0
26192,0
31098,1
31999,0
33883,0
39534,1
43643,0
49192,1
49597,1
50787,0
52919,0
52966,0
54440,1
59467,1
59590,1
61171,0
64055,0
67855,0
79309,0
79338,0
80864,0
83464,0
83995,0
88670,0
90239,1
91210,1
92673,0
92980,1
94930,0
95247,0
99098,0
100588,1
100893,1
101359,1
108035,1
111182,0
115889,1
119919,1
129589,1
130343,1
131939,0
136880,1
154494,1
154802,0
160464,1
162818,0
165762,1
166591,0
166952,1
175972,0
176220,0
177669,0
187198,1
188011,0
190701,0
198120,0
198934,1
201074,0
204495,1
207865,0
217050,0
219718,0
228453,1
238690,0
238841,0
240837,1
241118,1
242791,1
245359,1
248698,0
250375,0
258961,0
259946,0
261926,1
266289,0
270339,1
276772,0
276906,1
282094,1
282261,1
283951,0
288191,1
291378,0
292313,0
297520,0
