"investorTimes","investorDirections"
2970,1
5239,0
11410,1
13222,0
14973,0
16978,1
24513,0
26938,1
34469,0
38830,1
39029,1
41187,1
44259,0
51002,1
63165,0
63675,0
63727,1
65368,1
67811,1
70284,0
71806,0
73956,0
76598,0
79284,1
83460,1
85040,0
85555,1
87422,0
87572,1
91089,0
95152,1
97166,1
103374,0
105353,0
109125,1
109570,0
113607,0
116397,1
119371,1
119907,0
122062,0
122558,0
136629,1
138134,0
145214,1
154945,1
160893,0
162772,1
169514,1
183439,1
200520,0
201014,0
202388,1
202907,0
204922,0
207631,0
209611,1
210315,1
222058,0
227038,1
232241,1
245512,1
253771,0
259201,0
262401,1
264138,0
265684,1
265739,0
267828,0
270666,1
271436,1
274345,0
275824,1
277524,1
279818,1
284705,0
285898,0
286081,0
288026,0
288536,0
289971,0
290100,1
291271,1
292599,1
